model_name,split,site_id,row_count,MAE,RMSE,normalized_MAE_by_site_mean,normalized_RMSE_by_site_mean,MBE,underestimation_rate,peak_MAE,peak_underestimation_rate
Global_Train_Mean,validation,Parking_Lot_01,2223,11.26059109943639,11.393585143799566,5.040757234889335,5.100291471183061,11.258793354393282,0.1349527665317139,1.2246084558448067,12.5
Persistence_1h,validation,S_Wilson_Garage_01,2208,1.066092735205589,2.3784760472050506,0.4031804899463371,0.8995044299338851,-0.005690491789206877,18.97644927536232,3.456007762311225,68.21705426356588
Ridge_Regression_All_Features,validation,S_Wilson_Garage_01,2208,1.8760867582705447,3.007451343614312,0.7095082382636128,1.137373575643358,1.3233157446888013,9.646739130434783,3.077862631043997,74.4186046511628
Linear_Regression_All_Features,validation,S_Wilson_Garage_01,2208,1.8999427402507114,3.027382403139207,0.7185302174829531,1.1449112072949301,1.3550193449206531,9.465579710144928,3.0566861528218254,73.64341085271317
Average_24h_168h,validation,S_Wilson_Garage_01,2208,1.9922938831344863,3.501391552950868,0.7534560525490782,1.3241744504904271,-0.11958422978040513,24.094202898550723,7.966371070926256,95.34883720930233
Zero_Load,validation,S_Wilson_Garage_01,2208,2.0774951058281683,4.163467644852253,0.7856778936472086,1.5745618270286228,-2.0774951058281683,35.32608695652174,12.519373985196118,100.0
Persistence_168h,validation,S_Wilson_Garage_01,2208,2.1405920968773384,3.969630260703768,0.8095402415699137,1.5012553979253125,-0.1901034968929526,24.365942028985508,8.37601560509843,90.69767441860465
Persistence_24h,validation,S_Wilson_Garage_01,2208,2.239207069843086,4.0942963742779765,0.8468349644428798,1.548402276513564,-0.049064962667857606,24.27536231884058,8.352041573542346,91.47286821705426
Site_Train_Mean,validation,S_Wilson_Garage_01,2208,3.092914496295499,3.652347116399094,1.1696944747851334,1.3812636098302518,0.5667120465255701,28.442028985507246,9.875166832842382,100.0
Global_Train_Mean,validation,S_Wilson_Garage_01,2208,9.913501206644138,10.426388801706832,3.749139396215477,3.9431058918458013,9.782183116736574,4.121376811594203,1.587981311135362,70.54263565891473
